sku_id,product_id,product_code,price,product_name,description
1,P00001,GR-00001,3291.47,Maggie Noodles,"Maggie Noodles from Groceries, high quality and best price."
2,P00002,GR-00002,2318.12,Basmati Rice,"Basmati Rice from Groceries, high quality and best price."
3,P00003,GR-00003,4963.63,Refined Oil,"Refined Oil from Groceries, high quality and best price."
4,P00004,GR-00004,1346.76,Potato Chips,"Potato Chips from Groceries, high quality and best price."
5,P00005,GR-00005,3643.68,Tea Powder,"Tea Powder from Groceries, high quality and best price."
6,P00006,EL-00006,3372.46,Smartphone,"Smartphone from Electronics, high quality and best price."
7,P00007,EL-00007,3568.11,Laptop,"Laptop from Electronics, high quality and best price."
8,P00008,EL-00008,3169.28,Earphones,"Earphones from Electronics, high quality and best price."
9,P00009,EL-00009,126.73,Power Bank,"Power Bank from Electronics, high quality and best price."
10,P00010,EL-00010,229.22,Smartwatch,"Smartwatch from Electronics, high quality and best price."
11,P00011,BE-00011,2749.69,Lipstick,"Lipstick from Beauty, high quality and best price."
12,P00012,BE-00012,1044.24,Face Cream,"Face Cream from Beauty, high quality and best price."
13,P00013,BE-00013,3496.76,Perfume,"Perfume from Beauty, high quality and best price."
14,P00014,BE-00014,3115.38,Nail Polish,"Nail Polish from Beauty, high quality and best price."
15,P00015,BE-00015,1824.28,Shampoo,"Shampoo from Beauty, high quality and best price."
16,P00016,FA-00016,4551.36,T-Shirt,"T-Shirt from Fashion, high quality and best price."
17,P00017,FA-00017,2655.34,Jeans,"Jeans from Fashion, high quality and best price."
18,P00018,FA-00018,1678.89,Sneakers,"Sneakers from Fashion, high quality and best price."
19,P00019,FA-00019,3750.53,Handbag,"Handbag from Fashion, high quality and best price."
20,P00020,FA-00020,2644.95,Jacket,"Jacket from Fashion, high quality and best price."
21,P00021,HO-00021,1531.68,Mixer Grinder,"Mixer Grinder from Home & Kitchen, high quality and best price."
22,P00022,HO-00022,4448.07,Pressure Cooker,"Pressure Cooker from Home & Kitchen, high quality and best price."
23,P00023,HO-00023,459.65,Chair,"Chair from Home & Kitchen, high quality and best price."
24,P00024,HO-00024,3924.68,Table Lamp,"Table Lamp from Home & Kitchen, high quality and best price."
25,P00025,HO-00025,718.43,Water Bottle,"Water Bottle from Home & Kitchen, high quality and best price."
